0,Startup
1,Unclassified
2,Startup
3,Mature Company
4,Mature Company
5,Startup
6,Startup
7,Startup
8,Mature Company
9,Startup
10,Mature Company
11,Unclassified
12,Mature Company
13,Unclassified
14,Startup
15,Unclassified
16,Startup
17,Mature Company
18,Startup
19,Unclassified
20,Unclassified
21,Mature Company
22,Mature Company
23,Unclassified
24,Startup
25,Startup
26,Mature Company
27,Startup
28,Startup
29,Unclassified
30,Startup
31,Mature Company
32,Unclassified
33,Mature Company
34,Unclassified
35,Startup
36,Unclassified
37,Unclassified
38,Startup
39,Mature Company
40,Unclassified
41,Startup
42,Startup
43,Startup
44,Mature Company
45,Startup
46,Startup
47,Mature Company
48,Unclassified
49,Mature Company
50,Startup
51,Unclassified
52,Startup
53,Mature Company
54,Unclassified
55,Startup
56,Mature Company
57,Unclassified
58,Startup
59,Startup
60,Mature Company
61,Startup
62,Mature Company
63,Startup
64,Startup
65,Startup
66,Unclassified
67,Unclassified
68,Mature Company
69,Startup
70,Startup
71,Mature Company
72,Startup
73,Startup
74,Startup
75,Mature Company
76,Startup
77,Startup
78,Startup
79,Mature Company
80,Government/Non-profit
81,Startup
82,Startup
83,Mature Company
84,Unclassified
85,Unclassified
86,Startup
87,Startup
88,Startup
89,Startup
90,Startup
91,Startup
92,Mature Company
93,Startup
94,Startup
95,Startup
96,Mature Company
97,Startup
98,Unclassified
99,Startup
100,Startup
101,Startup
102,Startup
103,Unclassified
104,Unclassified
105,Mature Company
106,Mature Company
107,Startup
108,Startup
109,Government/Non-profit
110,Mature Company
111,Unclassified
112,Startup
113,Unclassified
114,Startup
115,Startup
116,Unclassified
117,Startup
118,Startup
119,Startup
120,Startup
121,Unclassified
122,Startup
123,Mature Company
124,Startup
125,Mature Company
126,Startup
127,Mature Company
128,Unclassified
129,Startup
130,Startup
131,Startup
132,Startup
133,Mature Company
134,Unclassified
135,Startup
136,Startup
137,Unclassified
138,Startup
139,Startup
140,Unclassified
141,Mature Company
142,Mature Company
143,Startup
144,Mature Company
145,Startup
146,Startup
147,Unclassified
148,Unclassified
149,Unclassified
150,Mature Company
151,Unclassified
152,Mature Company
153,Mature Company
154,Startup
155,Startup
156,Startup
157,Mature Company
158,Startup
159,Startup
160,Startup
161,Mature Company
162,Unclassified
163,Startup
164,Unclassified
165,Unclassified
166,Unclassified
167,Unclassified
168,Startup
169,Unclassified
170,Mature Company
171,Unclassified
172,Startup
173,Mature Company
174,Startup
175,Mature Company
176,Startup
177,Mature Company
178,Startup
179,Mature Company
180,Startup
181,Unclassified
182,Startup
183,Startup
184,Startup
185,Unclassified
186,Mature Company
187,Startup
188,Startup
189,Startup
190,Mature Company
191,Unclassified
192,Unclassified
193,Mature Company
194,Unclassified
195,Startup
196,Startup
197,Startup
198,Startup
199,Unclassified
200,Unclassified
201,Startup
202,Startup
203,Startup
204,Startup
205,Startup
206,Startup
207,Startup
208,Government/Non-profit
209,Startup
210,Startup
211,Startup
212,Startup
213,Startup
214,Unclassified
215,Startup
216,Mature Company
217,Startup
218,Unclassified
219,Startup
220,Mature Company
221,Startup
222,Startup
223,Startup
224,Mature Company
225,Mature Company
226,Startup
227,Mature Company
228,Mature Company
229,Mature Company
230,Startup
231,Startup
232,Startup
233,Mature Company
234,Startup
235,Startup
236,Mature Company
237,Mature Company
238,Startup
239,Startup
240,Startup
241,Startup
242,Startup
243,Mature Company
244,Unclassified
245,Startup
246,Mature Company
247,Unclassified
248,Mature Company
249,Startup
250,Startup
251,Mature Company
252,Startup
253,Startup
254,Mature Company
255,Startup
256,Unclassified
257,Mature Company
258,Startup
259,Startup
260,Startup
261,Unclassified
262,Mature Company
263,Mature Company
264,Startup
265,Startup
266,Startup
267,Startup
268,Unclassified
269,Unclassified
270,Startup
271,Startup
272,Mature Company
273,Startup
274,Startup
275,Startup
276,Startup
277,Startup
278,Mature Company
279,Startup
280,Startup
281,Startup
282,Startup
283,Unclassified
284,Unclassified
285,Startup
286,Startup
287,Unclassified
288,Startup
289,Unclassified
290,Startup
291,Startup
292,Startup
293,Mature Company
294,Mature Company
295,Mature Company
296,Startup
297,Mature Company
298,Mature Company
299,Mature Company
300,Startup
301,Unclassified
302,Unclassified
303,Startup
304,Mature Company
305,Startup
306,Mature Company
307,Startup
308,Unclassified
309,Startup
310,Startup
311,Unclassified
312,Mature Company
313,Startup
314,Unclassified
315,Mature Company
316,Startup
317,Startup
318,Startup
319,Unclassified
320,Unclassified
321,Startup
